word,frequency
navidad,1271679
para,345941
pero,236031
peor,225843
reyes,207659
magos,185967
navide,173779
porque,166697
falta,165229
como,159603
esta,151554
todo,146604
navidades,141556
nada,112507
gente,108049
cuando,103957
este,101896
hace,95135
puede,94665
solo,93153
familia,76803
culpa,73748
menos,72842
mala,72005
noel,69453
nochebuena,68729
regalo,65889
papa,65265
regalos,65185
vida,64764
tengo,64458
pasar,62090
estas,61816
todos,60866
casa,60734
mierda,57648
tiene,57580
ahora,56773
malo,56179
esto,55461
noche,53735
crisis,52899
dinero,51474
venezolanos,51272
estoy,51214
algo,50450
hacer,48210
odio,47728
triste,46828
hasta,45708
antes,44460
nochevieja,44353
estar,43722
tienen,42335
venezuela,42170
problema,41530
gobierno,41269
verdad,41078
personas,40885
dice,40042
creo,39890
miedo,39508
nadie,39313
tener,38983
comida,37977
parece,37889
cena,37440
cada,37332
muertos,37029
pues,36636
mismo,36428
despues,41977
siempre,35874
nunca,35766
toda,35697
mucho,35576
maduro,35573
desde,35107
madre,34488
alguien,34405
pasado,34322
pasa,33211
cosas,33206
puedo,33147
poco,33054
mundo,32815
puta,31345
violencia,31186
quien,31040
dios,29759
nuevo,29429
caso,29150
tambi,29070
escasez,28595
decir,28548
haber,28394
pernil,27969
foto,27652
otra,27418
todas,27347
pueblo,27328
igual,27292
estos,27216
sido,26506
comer,26016
muchos,25831
tanto,25719
hijos,25515
ellos,25505
hecho,25424
donde,25371
otro,25316
nico,25303
hacen,25167
pueden,25163
poner,24987
dicen,24786
pobre,24656
contra,24472
siento,24337
hambre,24146
poca,23799
polic,23719
fiestas,23462
cuenta,23462
creen,22998
vieja,22747
tiempo,22732
casi,22731
hijo,22596
denuncia,22539
salir,22379
sobre,22137
amor,21951
rbol,21780
espa,21647
unos,21617
sino,21596
deja,21389
creer,21315
durante,21252
comprar,21135
protestan,21131
santa,20977
paso,20956
entre,20938
enza,20923
haya,20579
persona,20537
poder,20511
quiere,20466
padres,20437
todav,20397
queda,20382
verg,20181
diciembre,20000
cosa,19658
portugal,19512
estamos,19473
entiendo,19261
estaba,19084
video,18962
ante,18938
ustedes,18913
esos,18882
quiero,18858
sabe,18756
viene,18725
pone,18633
aunque,18335
mientras,18256
econ,18246
tras,18170
paro,18100
hizo,18066
mica,18015
gusta,17986
ritu,17905
ganas,17719
dejar,17634
existe,17603
fuera,17504
padre,17464
riesgo,17439
fotos,17417
fiesta,17398
historia,17034
luego,17025
quieren,16882
cabalgata,16691
juguetes,16660
parte,16499
nica,16486
grinch,16417
saben,16403
llega,16401
ticos,16375
cara,16371
bien,16318
deber,16280
dijo,16255
favor,16223
espero,16194
semana,16163
pensar,16008
presos,15820
guerra,15712
ayer,15499
estado,15475
pena,15468
momento,15386
agua,15282
gasto,15246
mensaje,15238
podr,15193
esas,15154
nuestro,15134
importa,15061
debe,15028
asco,15010
tres,14928
ella,14868
saber,14840
visto,14787
mesa,14708
hora,14439
eres,14308
nicolasmaduro,14278
vaya,14266
encima,14236
pasan,14231
pido,14148
seguro,14064
quer,14060
hombre,14012
acaba,13985
dejan,13982
millones,13971
digo,13961
unas,13903
pedir,13796
realidad,13691
pase,13679
primera,13493
sabes,13483
tampoco,13444
veces,13443
peores,13429
tica,13357
pedido,13352
claro,13330
deseo,13328
tienes,13203
tenemos,13105
cree,13058
celebrar,12990
medio,12961
familias,12929
bueno,12900
calle,12861
extra,12809
protestas,12793
mayor,12722
salud,12690
pasando,12583
jajaja,12501
vacaciones,12493
horas,12345
sigue,12340
enero,12337
mucha,12272
felices,12239
llorar,12238
madrid,12225
tipo,12213
respeto,12198
dormir,12013
culo,12006
dejen,12001
hermano,11947
algunos,11942
tanta,11924
perro,11913
fechas,11896
perd,11825
mujer,11795
mensajes,11761
siente,11746
buena,11728
gasolina,11706
perros,11684
youtube,11673
puedes,11639
mira,11607
cabeza,11565
familiares,11505
habr,11475
compr,11417
vamos,11416
eran,11300
ponen,11275
feliz,11269
ropa,11264
trabajo,11173
siguen,11166
fueron,11120
mentira,11033
estan,11020
alegr,10950
vale,10924
puto,10924
recuerda,10913
abuela,10913
ning,10908
otros,10754
horrible,10711
recibir,10675
pirotecnia,10674
onda,10670
ninguna,10664
haciendo,10660
lado,10649
humor,10578
clap,10565
tico,10546
pedo,10533
tristeza,10511
angelito,10478
candelitas,10423
usted,10417
basura,10411
llegar,10390
debajo,10390
presidente,10328
sean,10205
loco,10203
ilusi,10105
misma,10093
hablar,10028
pobres,10019
siendo,9995
cualquier,9923
bono,9919
dado,9912
meses,9876
indulto,9857
arbol,9817
idea,9801
arbolito,9731
vive,9726
novio,9721
luces,9697
dolor,9682
normal,9675
diciendo,9607
queridos,9563
justo,9546
alcohol,9542
magia,9511
pagar,9465
dije,9453
ojal,9410
joder,9409
alimentos,9408
nota,9395
amigos,9375
volver,9330
coraz,9321
ahre,9279
tarde,9271
carta,9227
gordo,9219
viejo,9207
cierto,9196
acabo,9103
haga,9044
pais,9020
euros,9010
drag,8993
alguna,8957
cual,8951
quejan,8924
amos,8877
regalar,8831
sale,8780
sola,8775
peque,8774
siquiera,8734
muerte,8730
final,8720
verga,8715
hermana,8674
campa,8634
serio,8552
vivir,8471
llama,8407
lleg,8401
realmente,8392
demasiado,8307
tenido,8262
pide,8231
hemos,8210
animales,8186
trata,8185
excesos,8163
viendo,8145
tomar,8129
lleva,8110
noticias,8070
jajajaja,8061
sentir,8058
tendr,8041
cohetes,7994
dieron,7987
huelga,7975
existen,7969
noticia,7963
forma,7957
tenga,7948
miles,7943
petardos,7943
ganar,7914
nosotros,7893
mujeres,7889
compras,7870
nuestra,7869
evitar,7862
cula,7844
hija,7797
chavismo,7771
esperanza,7729
muchas,7723
acuerdo,7668
real,7660
declara,7645
quienes,7629
calles,7628
loter,7624
manera,7599
gimen,7570
somos,7545
vuelve,7531
familiar,7519
continente,7513
libertad,7505
perder,7505
tirar,7489
justicia,7475
jaja,7463
pesar,7463
podemos,7446
trajo,7437
duda,7432
cooperante,7399
condena,7393
robar,7392
mejor,7372
primer,7352
lejos,7338
hospital,7298
claus,7293
chicos,7288
social,7283
twitter,7273
ppkamigo,7267
sigo,7265
problemas,7258
adem,7241
llevo,7226
entonces,7222
corrupto,7219
diga,7198
miseria,7171
vallecas,7165
qued,7153
teamhdp,7132
mirado,7130
calor,7128
sentido,7114
habla,7100
seguir,7090
dicho,7090
felicidad,7069
resto,7049
laboral,7042
llegan,7034
bajo,7007
milagro,7007
querer,6979
mano,6942
hubo,6923
pareja,6902
fujimori,6901
podido,6898
tradici,6864
arruina,6861
ores,6857
terrible,6852
negro,6851
hice,6840
plata,6826
vidas,6823
enga,6795
puesto,6794
gustado,6780
trabajadores,6747
recuerdo,6737
pens,6720
caer,6710
culas,6706
emoci,6683
burlan,6672
causa,6645
otras,6624
robo,6618
plena,6605
vecinos,6586
llorando,6576
nacimiento,6554
encontrad,6547
cambio,6497
cama,6495
accidentes,6494
ense,6492
importante,6413
dias,6411
fecha,6383
acabar,6373
sica,6367
ltima,6366
traen,6362
catalu,6349
deje,6341
tema,6338
nuestros,6334
orto,6334
trabajar,6331
miserable,6329
duele,6321
puso,6299
disfrutar,6297
quedan,6290
caja,6263
anda,6260
tuve,6256
simo,6246
corrupci,6237
hombres,6237
clase,6228
seguridad,6209
tristes,6173
spera,6168
paga,6144
entender,6118
chocolate,6118
raro,6103
hicieron,6099
tenia,6081
precios,6069
matar,6053
quedar,6049
hayan,6048
novia,6046
hagan,6041
trajeron,6039
dejado,6037
razones,6019
pregunta,6011
compa,6003
menes,5993
supone,5979
termina,5978
especial,5974
ciudad,5965
humanitaria,5964
perniles,5960
joda,5957
rodr,5948
guez,5942
nacional,5934
esperar,5933
cimovodafone,5922
lindo,5921
acerca,5906
sico,5906
situaci,5864
mama,5858
morir,5847
odiar,5840
dolartoday,5834
pongo,5833
hallacas,5828
anoche,5814
quieres,5813
traer,5789
celebra,5783
ayuda,5773
come,5766
posible,5763
lugar,5714
creyendo,5697
ndose,5691
desgracia,5683
llegado,5677
pienso,5677
sali,5675
amigo,5671
viaje,5667
llego,5663
efectivo,5656
juez,5612
nicol,5592
casas,5587
ponerme,5587
festejar,5572
dejaron,5567
rico,5551
abuelo,5548
punto,5543
faltan,5538
vienen,5528
jajajajaja,5511
llena,5486
queja,5481
hablando,5481
unen,5480
alex,5480
chavistas,5477
policia,5473
celular,5468
hubiera,5447
patria,5445
guardia,5437
hago,5424
espera,5413
dejo,5413
maldito,5405
acaban,5402
preso,5397
pueda,5396
sabemos,5396
pobreza,5376
fuegos,5371
trae,5368
nimo,5356
protesta,5340
excusa,5335
whatsapp,5334
pudo,5329
pensando,5318
amiga,5305
piensa,5270
fuerte,5270
repartir,5270
alma,5259
comidas,5258
muere,5257
sienten,5243
prometidos,5236
tengan,5235
cenas,5234
manos,5232
alto,5221
queen,5219
debido,5197
fieles,5194
nieve,5193
quiera,5192
pasaron,5182
derecho,5181
cola,5175
impuestos,5174
compartir,5166
gica,5166
cumplea,5162
mismos,5161
edad,5148
cruz,5136
llegue,5135
esperando,5127
lista,5127
odia,5115
terror,5113
compra,5108
haces,5102
partido,5096
hacia,5095
empleados,5086
puse,5079
consumismo,5078
sent,5073
digan,5070
bastante,5064
llevar,5062
chica,5062
frente,5055
super,5050
leer,5049
pidi,5040
molesta,5039
gust,5035
acabe,5026
querido,5020
chavista,5014
servicio,5012
domingo,5007
resulta,5007
toca,5005
dura,5002
pasada,4999
sera,4997
carroza,4990
caos,4981
libre,4970
sacar,4962
llamar,4940
pude,4929
malas,4924
venir,4917
gracia,4915
seres,4913
plan,4904
joven,4897
izquierda,4896
piden,4892
mitad,4884
navid,4884
avioncito,4881
nero,4874
imposible,4863
centro,4823
total,4803
muerto,4798
medicinas,4792
ojos,4767
quita,4748
nuestras,4741
altos,4722
tradiciones,4719
corruptos,4716
vitel,4707
jesus,4706
navi,4703
cenar,4698
dando,4692
roja,4687
bromas,4685
cuerpo,4681
terminar,4680
juro,4671
duro,4671
pasen,4670
ataque,4668
pierde,4667
risa,4666
porqu,4665
injusta,4662
artificiales,4649
tragedia,4642
vayan,4637
fico,4627
usar,4627
tiempos,4624
deben,4623
primero,4623
piensan,4607
ctimas,4591
vino,4587
tiran,4581
sima,4567
cuento,4559
cuanto,4544
basta,4543
alberto,4537
todavia,4521
gustan,4520
quitar,4516
imperio,4493
redes,4486
gusto,4486
peso,4484
recuerden,4483
inocentes,4478
vivo,4465
estaban,4460
comiendo,4455
suerte,4440
porq,4435
carajo,4431
cuba,4425
ocurre,4423
celebraci,4409
precio,4408
ltimos,4405
nivel,4396
ltimo,4392
rcel,4392
tuvo,4391
bonito,4385
pocas,4383
robaron,4377
boca,4376
gana,4372
media,4367
heridos,4363
sociedad,4359
broma,4358
regalaron,4357
cambiar,4355
grave,4354
acaso,4347
cuatro,4347
maldita,4341
abrir,4330
jamones,4325
hola,4324
dentro,4322
cumple,4319
quiz,4312
grupo,4307
meter,4307
sociales,4296
barrio,4289
mentiras,4287
diferente,4285
discurso,4278
gustar,4277
cantidad,4270
dulce,4261
perdido,4260
empezar,4254
tantas,4240
crees,4240
tele,4237
viven,4229
termine,4227
merec,4215
delincuentes,4214
civil,4210
merece,4205
pensaba,4202
estuvo,4192
pinche,4191
venezolano,4184
habia,4180
traigan,4179
dijeron,4178
blico,4175
linda,4165
macri,4149
deseos,4147
atenci,4130
embargo,4126
entiende,4119
rato,4113
vecino,4109
venga,4104
acab,4098
salen,4094
incluso,4094
mand,4093
detener,4091
pregunto,4086
ojala,4084
aire,4082
dictadura,4081
much,4073
recordar,4073
asesino,4068
reino,4065
carb,4064
poquito,4060
unico,4058
malos,4053
escuchar,4041
bolsa,4040
junta,4036
machista,4035
mago,4030
minutos,4026
significa,4024
juntos,4020
huevos,4018
gastar,4008
colombia,4007
darle,4001
gala,4000
menor,3991
decirle,3970
adornos,3965
medios,3957
verdadero,3939
ejemplo,3937
interior,3934
llevan,3933
feliznavidad,3933
cojones,3929
termin,3922
corta,3918
deuda,3917
auto,3917
regalado,3913
conmigo,3911
sueldo,3910
unido,3907
vuelto,3906
bolas,3902
trampa,3901
hablan,3901
viva,3900
salvar,3898
derechos,3895
ndome,3894
blanca,3894
critica,3890
chico,3889
sexo,3882
pocos,3877
cerdo,3869
juego,3865
simplemente,3861
adultos,3860
vuelta,3853
cerca,3843
queremos,3838
coca,3834
seria,3828
llegada,3828
internet,3825
tremenda,3825
prometido,3819
cientos,3804
incre,3803
saludo,3798
jugar,3794
tantos,3791
bonita,3790
manda,3784
libro,3773
recalentado,3768
buscar,3768
necesito,3767
romper,3757
regimen,3752
tambien,3751
nombre,3749
desastre,3747
pendejo,3745
ambiente,3743
obvio,3740
aquellos,3739
rojo,3732
abuelos,3729
parecer,3726
saboteo,3720
coche,3717
carne,3717
hermanos,3713
fuego,3700
ladrones,3692
cine,3691
bronca,3689
doble,3689
huevo,3681
delito,3681
empresa,3679
biblica,3676
varios,3671
humanidad,3665
quede,3660
juguete,3656
noches,3651
cristianos,3644
empieza,3644
mata,3639
kilos,3638
ciudadanos,3638
momentos,3637
entusiasmo,3628
ponga,3627
lamentable,3613
pago,3612
loca,3611
subir,3610
compre,3601
seas,3600
guste,3599
grandes,3597
oles,3595
admiten,3594
pendejos,3593
baja,3592
viejos,3591
comunistas,3589
revistaclimax,3580
ausencia,3576
perra,3564
olvidar,3562
haser,3548
